App,Translated_Review,Sentiment,Sentiment_Polarity,Sentiment_Subjectivity
10 Best Foods for You,Cool.,Positive,0.35,0.65
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Good,Positive,0.7,0.6
10 Best Foods for You,Best Best,Positive,1.0,0.3
10 Best Foods for You,Great Great,Positive,0.8,0.75
10 Best Foods for You,"Food list easy I predibetic, I scared. All Dr. said potatoes, rice, bread. He never told I could eat. I supplied paperwork stating things could happen me. This tells get works. Thank calming down.AWESOME APP. GET IT!!!!",Positive,1.0,0.833333333
10 Best Foods for You,Great wife. My wife enjoy much. She's kinda person like follow health diet... She's spending much time front PC find appropriate diet food her. Now found magnificent app! Thank you! Thumbs up.,Positive,0.516666667,0.525
10 Best Foods for You,Great! Very interesting useful application. I like it!,Positive,0.675,0.466666667
10 Best Foods for You,Crap Doesn't work,Negative,-0.8,0.8
10 Best Foods for You,This 5 starr Download,Neutral,0.0,0.0
10 Best Foods for You,I like Was helpful,Neutral,0.0,0.0
10 Best Foods for You,nice super get,Positive,0.466666667,0.833333333
10 Best Foods for You,Nice Nice collection,Positive,0.6,1.0
10 Best Foods for You,Wow,Positive,0.1,1.0
10 Best Foods for You,"Interesting. It interesting info, I think worth storage space phone. I'd rather research computer print list. Neat idea, make life easier, provide entertainment, I expect app.",Positive,0.433333333,0.366666667
10 Best Foods for You,"Luv it! Simple, easy understand, well thought I follow step step problems see results. I also luv apps, gives food choices. But looks like foundation. Keep good work!",Positive,0.436111111,0.596825397
10 Best Foods for You,Not good Its good u net connection u can't play app.so much good.,Positive,0.2625,0.45
10 Best Foods for You,Awesome resources I begin new journey. I can't see great results!,Positive,0.712121212,0.734848485
10 Best Foods for You,Boring. I thought actually just texts that's it. Too poor old texts....,Negative,-0.325,0.475
10 Best Foods for You,Love app. It gives way good idea I buying store eating daily basis,Positive,0.4,0.4
10 Best Foods for You,Great Its really best unique provides detailed information food nutritious staying healthy hats developer giving free.,Positive,0.579166667,0.683333333
10 Best Foods for You,Nothing special! Could find anything useful!,Positive,0.410714286,0.285714286
10 Best Foods for You,Its ok I love ok.,Positive,0.5,0.533333333
21-Day Meditation Experience,Terrible! Not user-friendly like original app. Please give customers option both. I look forward navigating cumbersome app. Namaste!,Negative,-0.265625,0.875
21-Day Meditation Experience,Deeply disappointed. My free 21 days longer works. It asking high price meditations. I expect Oprah involved scam. I respect her.,Negative,-0.063333333,0.696666667
21-Day Meditation Experience,Update 3.0 looks good. Would 5* without added pictures purchasing products taking space phone. All products already available making pictures redundant. Thanks experience.,Positive,0.275,0.35
21-Day Meditation Experience,"I guess can't please everyone... I loved update. I'm sure idea ""streamlined"" is, can't even read full title meditation trying use, theres problem. I love meditations themselves, comparing update update. The quality functionality like comparing apples oranges opinion. I'm sure looking wanted changes... feels completely mark.",Positive,0.441666667,0.687962963
21-Day Meditation Experience,This good ever I get notification phone stops meditation playing annoying I press play disturbs meditation. I prefer ed upgrade,Negative,-0.05,0.75
21-Day Meditation Experience,I able listen 21 days past 2 frozen / crashed play. I liked upgrade point lot.,Positive,0.283333333,0.558333333
21-Day Meditation Experience,"Love offers dislike intensely keeps playing episode episode hours end. Used stop selected finished, much better way.",Positive,0.325,0.525
21-Day Meditation Experience,"Seems like update occurred, let access free meditation experience. Yesterday did, today matter try let me. Frustrating.",Neutral,0.0,0.85
21-Day Meditation Experience,I'm 21 days FREE meditation attraction. At first I could see program free. But update keeps showing order continue I pay.,Positive,0.35,0.644444444
21-Day Meditation Experience,I Started Manifesting I want From 2nd Day My Meditation. I Wholeheartedly Thank Deepak ji Oprah Bringing This Excellent App. Highly Recommend it!!!,Positive,0.4375,0.513333333
21-Day Meditation Experience,Great experience. User friendly navigation.,Positive,0.5875,0.625
21-Day Meditation Experience,Cool,Positive,0.35,0.65
21-Day Meditation Experience,It would best crashing time. The new version keeps crashing every time I open app. I'm missing 21 day experiences ones I purchased I cannot access now. It's getting frustrating. Plus new version allow view daily meditation... Full Review,Positive,0.127840909,0.401136364
21-Day Meditation Experience,"The 21-Day Meditations excellent addition daily meditation practice. Truly enjoy listening Oprah & Deepak. Short enough anytime, AM PM. It would merit 5-star ongoing glitch. I've uninstalled reinstalled fixed it. When... Full Review",Positive,0.264285714,0.435714286
21-Day Meditation Experience,"This glitchy phone. More often not, it'll say ""mediation failed load"" available. I've deleted reinstalled several times nothing seemed work. Frustrating!",Negative,-0.02,0.42
21-Day Meditation Experience,I love meditation sessions. Especially I love try meditation commit buying it! And great customer service. There couple reasons I give 4 stars: 1) They stopped supporting older OS smartphones lower end me... Full Review,Positive,0.511111111,0.580555556
21-Day Meditation Experience,Frozen Day 3...Things w we're moving along great I hit day 3 stuck there.now everyday returns back day.what waste time. New Year Same problem freezes minutes playing. . Anything calming trans-formative experience,Positive,0.089393939,0.321590909
21-Day Meditation Experience,Stressed I downloaded start time I got emails saying day expired within 5 days I already missed Day 1 I needed Day 2 day. Meditation individuals time frame... And I want pay deep thinker.... Full Review,Positive,0.175,0.475
21-Day Meditation Experience,"Update: Apr 21, 2018 - I love itl. Reliable consistent. Old review: 2015 Lately every night I shows ""unable library"" message I uninstal n 're-install nightly... Contacted support team told work. So... Bad ..",Negative,-0.108333333,0.469444444
21-Day Meditation Experience,"Great meditations. Two things I wish would improve on. 1) allow daily reminders items purchased library set time daily reminder. 2) writing journal, blank space scrolls. It would nice instructions scroll well, bc much r... Full Review",Positive,0.278571429,0.357142857
21-Day Meditation Experience,"This totally awesome.... little trouble times w wanted go back relisten ""rewind"" recording freaked & close & start",Positive,0.153125,0.425
21-Day Meditation Experience,Day 1&2 fine. But day 3 froze quarter way thru meditation. That's disruptive. I'd rather online version. Uninstalling.,Positive,0.416666667,0.5
21-Day Meditation Experience,"Overall, easy use. Houses meditation programs I purchased place allows stream time. Makes participating 21-day programs breeze. Gave four stars hang becomes stuck sometimes.",Positive,0.216666667,0.416666667
21-Day Meditation Experience,Regular free meditations.. what's love?? They like 1/2 spiritual teaching 1/2 meditation. I've even bought quite few. Great value!,Positive,0.283333333,0.410042735
21-Day Meditation Experience,"I enjoy using complete meditations anywhere, however 21-day meditation series allow journaling way online via desktop. This huge faux pas, strongly important part experience.",Positive,0.325,0.7
21-Day Meditation Experience,I problems reviewers mentioned. This working great. I love hearing Oprah Deepak's voice...so calming. It's great addition regular practice.,Positive,0.525,0.544230769
21-Day Meditation Experience,Love music & voices. I like I access ALL meditations 21 days. I missed trip & I can't access them.,Positive,0.5,0.6
21-Day Meditation Experience,Best App...hands down! I love variety sample meditations choose from. That mediation intro read prepare whats come. This duo dynamic (Oprah Deepak) force reckoned with...Thank helping become best sel... Full Review,Positive,0.442592593,0.367592593
21-Day Meditation Experience,"The content great hard use, gives sense actions progressing seems outdated poorly made. The easier need updating. It's shame program good!",Positive,0.116666667,0.625
21-Day Meditation Experience,"It extremely calming excellent method center day. It brings anxiety stress levels leading progressive, peaceful, energetic positive mindset. I highy recommended hard time reaching true desired level ... Full Review",Positive,0.24006734,0.598569024
21-Day Meditation Experience,Has paid library available plus lists free meditation offer. Easy keep track navigate. Does always allow listen downloaded meditations I internet. The free experience registers I get reminders I've missed experience. Thanks fix.,Positive,0.366666667,0.606666667
21-Day Meditation Experience,"Love access meditations. After playing day, though, jumps back days starts replaying. Can fix glitch?",Positive,0.25,0.3
21-Day Meditation Experience,I know begin I asked 'whatever want call life force' I received answers. I imagine incredible positive creative flow meditations generate join together July 23. The unified field within us ... Full Review,Positive,0.494318182,0.748863636
21-Day Meditation Experience,"This good I updated it. Now I cannot access journal entries. It says ""Journal available meditation "" every day. Please fix",Positive,0.55,0.5
21-Day Meditation Experience,"I love app, quick & easy use, right size read. I.m able meditate anywhere w/o laptop. I don.t access email meditation experience, I handy app. I love 21 Day experience I get time. Thanks much.",Positive,0.394708995,0.55489418
21-Day Meditation Experience,"I love and depend app. IN which journal would stay, 5 days access free meditations--still made significant positive impact life.",Positive,0.375568182,0.705113636
21-Day Meditation Experience,Nice work consistently. Had frequent glitches barring access journal parts content,Positive,0.316666667,0.516666667
21-Day Meditation Experience,Thank changing permissions access! When I done meditation I enjoy quiet...this auto plays another right away makes awful loud introduction next meditation. This happened night uses data I catch it. Please consider changing I rea... Full Review,Positive,0.022619048,0.564285714
21-Day Meditation Experience,Amazing meditation sessions. Only wish option keep expired. Currently shredding weight Oprah absolutely helping stay track keep accountable.,Positive,0.2,0.8
21-Day Meditation Experience,"I've meditating Oprah Deepak using 21 day meditation experience several years now. Occasionally, topics practice resonated enough I've bought again. I look forward new 21 Day Experience enthusiasm excitement. They gui... Full Review",Positive,0.097272727,0.325909091
21-Day Meditation Experience,Terrible! Not user-friendly like original app. Please give customers option both. I look forward navigating cumbersome app. Namaste!,Negative,-0.265625,0.875
21-Day Meditation Experience,Deeply disappointed. My free 21 days longer works. It asking high price meditations. I expect Oprah involved scam. I respect her.,Negative,-0.063333333,0.696666667
21-Day Meditation Experience,Update 3.0 looks good. Would 5* without added pictures purchasing products taking space phone. All products already available making pictures redundant. Thanks experience.,Positive,0.275,0.35
21-Day Meditation Experience,"I guess can't please everyone... I loved update. I'm sure idea ""streamlined"" is, can't even read full title meditation trying use, theres problem. I love meditations themselves, comparing update update. The quality functionality like comparing apples oranges opinion. I'm sure looking wanted changes... feels completely mark.",Positive,0.441666667,0.687962963
21-Day Meditation Experience,This good ever I get notification phone stops meditation playing annoying I press play disturbs meditation. I prefer ed upgrade,Negative,-0.05,0.75
21-Day Meditation Experience,I able listen 21 days past 2 frozen / crashed play. I liked upgrade point lot.,Positive,0.283333333,0.558333333
21-Day Meditation Experience,"Love offers dislike intensely keeps playing episode episode hours end. Used stop selected finished, much better way.",Positive,0.325,0.525
21-Day Meditation Experience,"Seems like update occurred, let access free meditation experience. Yesterday did, today matter try let me. Frustrating.",Neutral,0.0,0.85
21-Day Meditation Experience,I'm 21 days FREE meditation attraction. At first I could see program free. But update keeps showing order continue I pay.,Positive,0.35,0.644444444
21-Day Meditation Experience,I Started Manifesting I want From 2nd Day My Meditation. I Wholeheartedly Thank Deepak ji Oprah Bringing This Excellent App. Highly Recommend it!!!,Positive,0.4375,0.513333333
21-Day Meditation Experience,Great experience. User friendly navigation.,Positive,0.5875,0.625
21-Day Meditation Experience,Cool,Positive,0.35,0.65
21-Day Meditation Experience,It would best crashing time. The new version keeps crashing every time I open app. I'm missing 21 day experiences ones I purchased I cannot access now. It's getting frustrating. Plus new version allow view daily meditation... Full Review,Positive,0.127840909,0.401136364
21-Day Meditation Experience,"The 21-Day Meditations excellent addition daily meditation practice. Truly enjoy listening Oprah & Deepak. Short enough anytime, AM PM. It would merit 5-star ongoing glitch. I've uninstalled reinstalled fixed it. When... Full Review",Positive,0.264285714,0.435714286
21-Day Meditation Experience,"This glitchy phone. More often not, it'll say ""mediation failed load"" available. I've deleted reinstalled several times nothing seemed work. Frustrating!",Negative,-0.02,0.42
21-Day Meditation Experience,I love meditation sessions. Especially I love try meditation commit buying it! And great customer service. There couple reasons I give 4 stars: 1) They stopped supporting older OS smartphones lower end me... Full Review,Positive,0.511111111,0.580555556
21-Day Meditation Experience,Frozen Day 3...Things w we're moving along great I hit day 3 stuck there.now everyday returns back day.what waste time. New Year Same problem freezes minutes playing. . Anything calming trans-formative experience,Positive,0.089393939,0.321590909
21-Day Meditation Experience,Stressed I downloaded start time I got emails saying day expired within 5 days I already missed Day 1 I needed Day 2 day. Meditation individuals time frame... And I want pay deep thinker.... Full Review,Positive,0.175,0.475
21-Day Meditation Experience,"Update: Apr 21, 2018 - I love itl. Reliable consistent. Old review: 2015 Lately every night I shows ""unable library"" message I uninstal n 're-install nightly... Contacted support team told work. So... Bad ..",Negative,-0.108333333,0.469444444
21-Day Meditation Experience,"Great meditations. Two things I wish would improve on. 1) allow daily reminders items purchased library set time daily reminder. 2) writing journal, blank space scrolls. It would nice instructions scroll well, bc much r... Full Review",Positive,0.278571429,0.357142857
21-Day Meditation Experience,"This totally awesome.... little trouble times w wanted go back relisten ""rewind"" recording freaked & close & start",Positive,0.153125,0.425
21-Day Meditation Experience,Day 1&2 fine. But day 3 froze quarter way thru meditation. That's disruptive. I'd rather online version. Uninstalling.,Positive,0.416666667,0.5
21-Day Meditation Experience,"Overall, easy use. Houses meditation programs I purchased place allows stream time. Makes participating 21-day programs breeze. Gave four stars hang becomes stuck sometimes.",Positive,0.216666667,0.416666667
21-Day Meditation Experience,Regular free meditations.. what's love?? They like 1/2 spiritual teaching 1/2 meditation. I've even bought quite few. Great value!,Positive,0.283333333,0.410042735
21-Day Meditation Experience,"I enjoy using complete meditations anywhere, however 21-day meditation series allow journaling way online via desktop. This huge faux pas, strongly important part experience.",Positive,0.325,0.7
21-Day Meditation Experience,I problems reviewers mentioned. This working great. I love hearing Oprah Deepak's voice...so calming. It's great addition regular practice.,Positive,0.525,0.544230769
21-Day Meditation Experience,Love music & voices. I like I access ALL meditations 21 days. I missed trip & I can't access them.,Positive,0.5,0.6
21-Day Meditation Experience,Best App...hands down! I love variety sample meditations choose from. That mediation intro read prepare whats come. This duo dynamic (Oprah Deepak) force reckoned with...Thank helping become best sel... Full Review,Positive,0.442592593,0.367592593
21-Day Meditation Experience,"The content great hard use, gives sense actions progressing seems outdated poorly made. The easier need updating. It's shame program good!",Positive,0.116666667,0.625
21-Day Meditation Experience,"It extremely calming excellent method center day. It brings anxiety stress levels leading progressive, peaceful, energetic positive mindset. I highy recommended hard time reaching true desired level ... Full Review",Positive,0.24006734,0.598569024
21-Day Meditation Experience,Has paid library available plus lists free meditation offer. Easy keep track navigate. Does always allow listen downloaded meditations I internet. The free experience registers I get reminders I've missed experience. Thanks fix.,Positive,0.366666667,0.606666667
21-Day Meditation Experience,"Love access meditations. After playing day, though, jumps back days starts replaying. Can fix glitch?",Positive,0.25,0.3
21-Day Meditation Experience,I know begin I asked 'whatever want call life force' I received answers. I imagine incredible positive creative flow meditations generate join together July 23. The unified field within us ... Full Review,Positive,0.494318182,0.748863636
21-Day Meditation Experience,"This good I updated it. Now I cannot access journal entries. It says ""Journal available meditation "" every day. Please fix",Positive,0.55,0.5
21-Day Meditation Experience,"Simple, easy use, unnecessarily wastes time... A good investment time, personal growth.",Positive,0.186666667,0.418095238
21-Day Meditation Experience,"I love app, quick & easy use, right size read. I.m able meditate anywhere w/o laptop. I don.t access email meditation experience, I handy app. I love 21 Day experience I get time. Thanks much.",Positive,0.394708995,0.55489418
21-Day Meditation Experience,"I love and depend app. IN which journal would stay, 5 days access free meditations--still made significant positive impact life.",Positive,0.375568182,0.705113636
21-Day Meditation Experience,Nice work consistently. Had frequent glitches barring access journal parts content,Positive,0.316666667,0.516666667
21-Day Meditation Experience,Thank changing permissions access! When I done meditation I enjoy quiet...this auto plays another right away makes awful loud introduction next meditation. This happened night uses data I catch it. Please consider changing I rea... Full Review,Positive,0.022619048,0.564285714
